O9G_000001	PITH domain-containing protein
O9G_000672	Peptidase M16, zinc-binding site domain-containing protein
O9G_000673	Hly-III-related domain-containing protein
O9G_000674	Ribosomal protein L7/L12/adaptor protein ClpS-like domain-containing protein
O9G_000675	Zinc finger, RING-type domain-containing protein
O9G_000676	hypothetical protein
O9G_000677	Exoribonuclease, phosphorolytic 1 domain-containing protein
O9G_000678	hypothetical protein
O9G_000679	hypothetical protein
O9G_000680	hypothetical protein
O9G_000681	hypothetical protein
O9G_000682	hypothetical protein
O9G_000683	hypothetical protein
O9G_000684	Tubulin/FtsZ, 2-layer sandwich domain-containing protein
O9G_000685	hypothetical protein
O9G_000686	Zinc finger, RanBP2-type domain-containing protein
O9G_000687	Protein of unknown function DUF3441 domain-containing protein
O9G_000688	hypothetical protein
O9G_000689	Phosphatidylserine decarboxylase-related domain-containing protein
O9G_000690	Serine--tRNA ligase, cytoplasmic
O9G_000691	Maleylacetoacetate isomerase domain-containing protein
O9G_000692	Anticodon-binding domain-containing protein
O9G_000693	hypothetical protein
O9G_000694	Bud13 domain-containing protein
O9G_000695	hypothetical protein
O9G_000696	hypothetical protein
O9G_000697	40S ribosomal protein S7
O9G_000698	Serine/threonine-protein kinase domain-containing protein 2
O9G_000699	hypothetical protein
O9G_000700	Oligomerisation domain-containing protein
O9G_000701	hypothetical protein
O9G_000702	hypothetical protein
O9G_000703	hypothetical protein
O9G_000704	hypothetical protein
O9G_000705	Tetratricopeptide-like helical domain-containing protein
O9G_000706	hypothetical protein
O9G_000707	Phosphatidylinositol Kinase domain-containing protein
O9G_000708	Protein of unknown function DUF3550/UPF0682 domain-containing protein
O9G_000709	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_000710	hypothetical protein
O9G_000711	Tubulin domain-containing protein
O9G_000712	Glycosyl transferase, family 4 domain-containing protein
O9G_000713	Phosphomannomutase
O9G_000714	hypothetical protein
O9G_000715	hypothetical protein
O9G_000716	Transportin-1/Importin Beta-2-like protein
O9G_000717	hypothetical protein
O9G_000718	NIF system FeS cluster assembly, NifU domain-containing protein
O9G_000719	hypothetical protein
O9G_000720	Pre-mRNA-splicing factor 38 domain-containing protein
O9G_000721	ACN9 domain-containing protein
O9G_000722	HAD-like domain-containing protein
O9G_000723	Coproporphyrinogen III oxidase domain-containing protein
O9G_000724	hypothetical protein
O9G_000725	Ribonuclease H2, subunit A domain-containing protein
O9G_000726	hypothetical protein
O9G_000727	hypothetical protein
O9G_000728	Prefoldin domain-containing protein
O9G_000729	hypothetical protein
O9G_000730	Oxysterol-binding protein domain-containing protein
O9G_000731	hypothetical protein
O9G_000732	ABC transporter domain-containing protein
O9G_000733	hypothetical protein
O9G_000734	of ribose phosphate pyrophosphokinase domain-containing protein
O9G_000735	hypothetical protein
O9G_000736	hypothetical protein
O9G_000737	Peptidase S9A/B/C, oligopeptidasebeta-propeller domain-containing protein
O9G_000738	Thioredoxin-like fold domain-containing protein
O9G_000739	hypothetical protein
O9G_000740	hypothetical protein
O9G_000741	Zinc finger, PHD-type domain-containing protein
O9G_000742	hypothetical protein
O9G_000743	hypothetical protein
O9G_000744	G-protein alpha subunit domain-containing protein
O9G_000745	Rab GDI protein domain-containing protein
O9G_000746	CTLH/CRAto LisH motif domain-containing protein
O9G_000747	hypothetical protein
O9G_000748	hypothetical protein
O9G_000749	hypothetical protein
O9G_000750	Mitochondrial substrate/solute carrier domain-containing protein
O9G_000751	hypothetical protein
O9G_000752	hypothetical protein
O9G_000753	78 kDa glucose-regulated-like protein
O9G_000754	Plant ascorbate peroxidase domain-containing protein
O9G_000755	DNA polymerase family X lyase domain-containing protein
O9G_000756	hypothetical protein
O9G_000757	hypothetical protein
O9G_000758	hypothetical protein
O9G_000759	hypothetical protein
O9G_000761	CbxX/CfqX domain-containing protein
O9G_000762	hypothetical protein
O9G_000763	hypothetical protein
O9G_000764	Tryptophan synthase beta subunit domain-containing protein
O9G_000765	hypothetical protein
O9G_000766	40S ribosomal protein S4
O9G_000767	hypothetical protein
O9G_000768	hypothetical protein
O9G_000769	Ribosomal protein L11 domain-containing protein
O9G_000770	hypothetical protein
O9G_000771	Tetratricopeptide-like helical domain-containing protein
O9G_000772	hypothetical protein
O9G_000773	Serine/threonine-dual specificity kinase domain-containing protein
O9G_000774	hypothetical protein
O9G_000775	hypothetical protein
O9G_000776	Transcription initiation factor IIF, beta subunit domain-containing protein
O9G_000777	Glycoside hydrolase/deacetylase, beta/alpha-barrel domain-containing protein
O9G_000778	hypothetical protein
O9G_000779	Pescadillo domain-containing protein
O9G_000780	hypothetical protein
O9G_000781	Peptidyl-prolyl cis-trans isomerase, FKBP-type domain-containing protein
O9G_000782	Brix domain-containing protein
O9G_000783	hypothetical protein
O9G_000784	hypothetical protein
O9G_000785	DUF250 domain-containing protein
O9G_000786	Cyclin-like domain-containing protein
O9G_000787	Casein kinase II subunit alpha
O9G_000788	CDP-alcohol phosphatidyltransferase domain-containing protein
O9G_000789	hypothetical protein
O9G_000790	hypothetical protein
O9G_000791	hypothetical protein
O9G_000792	hypothetical protein
O9G_000793	hypothetical protein
O9G_000794	Glycoside hydrolase, family 85 domain-containing protein
O9G_000795	CDC2 Cell division control 2-like protein
O9G_000796	hypothetical protein
O9G_000797	Cyclin-dependent kinase 5-like protein
O9G_000798	hypothetical protein
O9G_000799	ATP binding domain-containing protein
O9G_000800	Ubiquitin-conjugating enzyme E2-20 kDa
O9G_000801	Phosphotyrosine protein phosphatase I superfamily domain-containing protein
O9G_000802	hypothetical protein
O9G_000803	Peptidase S59, nucleoporin domain-containing protein
O9G_000804	hypothetical protein
O9G_000805	hypothetical protein
O9G_000806	SPla/RYanodine receptor subgroup domain-containing protein
O9G_000807	HAD-superfamily phosphatase, subfamily IIIA domain-containing protein
O9G_000808	Alanine dehydrogenase/PNT, NAD(H)-binding domain-containing protein
O9G_000809	hypothetical protein
O9G_000810	Choline transporter-like domain-containing protein
O9G_000811	Peroxidase domain-containing protein
O9G_000812	DUF1929 domain-containing protein
O9G_000813	Ras guanine nucleotide exchange factor domain-containing protein
O9G_000814	hypothetical protein
O9G_000815	hypothetical protein
O9G_000816	hypothetical protein
O9G_000817	hypothetical protein
O9G_000818	Glycosyl transferase, ALG6/ALG8 domain-containing protein
O9G_000819	hypothetical protein
O9G_000820	Protein kinase, catalytic domain-containing protein
O9G_000821	hypothetical protein
O9G_000822	PIH1-containing protein 3 domain-containing protein
O9G_000823	Ubiquitin-conjugating enzyme/RWD-like domain-containing protein
O9G_000824	hypothetical protein
O9G_000825	hypothetical protein
O9G_000826	Oxidoreductase, FAD-binding domain-containing protein
O9G_000827	hypothetical protein
O9G_000828	Electron transfer flavoprotein, alpha/beta-subunit domain-containing protein
O9G_000829	hypothetical protein
O9G_000830	Syntaxin/epimorphin domain-containing protein
O9G_000831	BOP1 domain-containing protein
O9G_000832	Reverse transcriptase, RNA-dependent DNA polymerase domain-containing protein
O9G_000833	T-complex protein 10 domain-containing protein
O9G_000834	hypothetical protein
O9G_000835	hypothetical protein
O9G_000836	hypothetical protein
O9G_000837	Protein kinase, catalytic domain-containing protein
O9G_000838	hypothetical protein
O9G_000839	hypothetical protein
O9G_000840	Alpha-ketoglutarate-dependent dioxygenase AlkB-like domain-containing protein
O9G_000841	Glycosyltransferase AER61 domain-containing protein
O9G_000842	Argonaute/Dicer protein, PAZ domain-containing protein
O9G_000843	Stress response protein NST1 domain-containing protein
O9G_000844	Ribosomal RNA adenine methylase transferase domain-containing protein
O9G_000845	hypothetical protein
O9G_000846	hypothetical protein
O9G_000847	hypothetical protein
O9G_000848	Ribosomal protein L29 domain-containing protein
O9G_000849	hypothetical protein
O9G_000850	Forkhead-associated (FHA) domain-containing protein
O9G_000851	hypothetical protein
O9G_000852	Peptidase M14, carboxypeptidase A domain-containing protein
O9G_000853	hypothetical protein
O9G_000854	hypothetical protein
O9G_000855	hypothetical protein
O9G_000856	GDP-L-fucose synthase
O9G_000857	ARP2/3 complex, 21kDa subunit (p21-Arc) domain-containing protein
O9G_000858	DNA-directed RNA polymerase, phage-type domain-containing protein
O9G_000859	hypothetical protein
O9G_000860	hypothetical protein
O9G_000861	hypothetical protein
O9G_000862	hypothetical protein
O9G_000863	Electron transfer flavoprotein, beta subunit domain-containing protein
O9G_000864	hypothetical protein
O9G_000865	hypothetical protein
O9G_000866	hypothetical protein
O9G_000867	GPI transamidase subunit PIG-U domain-containing protein
O9G_000868	hypothetical protein
O9G_000869	hypothetical protein
O9G_000870	Carbohydrate kinase PfkB domain-containing protein
O9G_000871	hypothetical protein
O9G_000872	hypothetical protein
O9G_000873	hypothetical protein
O9G_000874	hypothetical protein
O9G_000875	hypothetical protein
O9G_000876	hypothetical protein
O9G_000877	hypothetical protein
O9G_000878	Protein of unknown function DUF858, methyltransferase-like domain-containing protein
O9G_000879	hypothetical protein
O9G_000880	hypothetical protein
O9G_000881	Aspartate aminotransferase, mitochondrial
O9G_000882	ABC transporter domain-containing protein
O9G_000883	Protein kinase, catalytic domain-containing protein
O9G_000884	hypothetical protein
O9G_000885	hypothetical protein
O9G_000887	hypothetical protein
O9G_000888	hypothetical protein
O9G_000889	hypothetical protein
O9G_000890	hypothetical protein
O9G_000891	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 domain-containing protein
O9G_000892	Ribosomal protein S5 2-type fold, subgroup domain-containing protein
O9G_000893	Elongation factor, GTP-binding domain-containing protein
O9G_000894	Acyl-CoA N-acyltransferase domain-containing protein
O9G_000895	Magnesium transporter MRS2/LPE10 domain-containing protein
O9G_000896	Peptidyl-prolyl cis-trans isomerase H
O9G_000897	hypothetical protein
O9G_000898	hypothetical protein
O9G_000899	Histone deacetylase superfamily domain-containing protein
O9G_000900	Signal transduction response regulator, receiver domain-containing protein
O9G_000901	Mitotic checkpoint serine/threonine protein kinase Bub1/Mad3-like protein
O9G_000902	UspA domain-containing protein
O9G_000903	hypothetical protein
O9G_000904	Protein kinase, catalytic domain-containing protein
O9G_000905	hypothetical protein
O9G_000906	hypothetical protein
O9G_000907	hypothetical protein
O9G_000908	hypothetical protein
O9G_000909	hypothetical protein
O9G_000910	hypothetical protein
O9G_000911	hypothetical protein
O9G_000912	hypothetical protein
O9G_000913	DnaJ domain-containing protein
O9G_000914	hypothetical protein
O9G_000915	Kinesin, motor region domain-containing protein
O9G_000916	Beta Catenin-related Armadillo repeat-containing protein
O9G_000917	hypothetical protein
O9G_000918	hypothetical protein
O9G_000919	hypothetical protein
O9G_000920	hypothetical protein
O9G_000921	Peptidase M24, structural domain-containing protein
O9G_000922	hypothetical protein
O9G_000923	Tafazzin domain-containing protein
O9G_000924	hypothetical protein
O9G_000925	Protein of unknown function DUF544 domain-containing protein
O9G_000926	HAD-like domain-containing protein
O9G_000927	hypothetical protein
O9G_000928	Cytochrome c oxidase assembly protein CtaG/Cox11 domain-containing protein
O9G_000929	hypothetical protein
O9G_000930	Protein kinase, catalytic domain-containing protein
O9G_000931	hypothetical protein
O9G_000932	Vacuolar import/degradation protein Vid24 domain-containing protein
O9G_000933	hypothetical protein
O9G_000934	hypothetical protein
O9G_000935	Succinylglutamate desuccinylase/aspartoacylase domain-containing protein
O9G_000936	hypothetical protein
O9G_000937	hypothetical protein
O9G_000938	Rossmann-like alpha/beta/alpha sandwich fold domain-containing protein
O9G_000939	Serine/threonine-dual specificity kinase domain-containing protein
O9G_000940	Kri1-like domain-containing protein
O9G_000941	Ribosomal protein S3Ae domain-containing protein
O9G_000942	E3 SUMO protein ligase domain-containing protein
O9G_000943	hypothetical protein
O9G_000944	Pyrimidine 5-nucleotidase domain-containing protein
O9G_000945	ABC-2 type transporter domain-containing protein
O9G_000946	Protein of unknown function DUF106 domain-containing protein
O9G_000947	hypothetical protein
O9G_000948	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_000949	Nuclear condensin complex subunit 3 domain-containing protein
O9G_000950	hypothetical protein
O9G_000951	hypothetical protein
O9G_000952	Mitogen-activated protein kinase hog1
O9G_000953	Ribosome biogenesis protein BRX1 domain-containing protein
O9G_000954	hypothetical protein
O9G_000955	hypothetical protein
O9G_000956	hypothetical protein
O9G_000957	Myosin tail domain-containing protein
O9G_000958	Katanin p80 subunit B1 domain-containing protein
O9G_000959	hypothetical protein
O9G_000960	ChaC-like protein domain-containing protein
O9G_000961	hypothetical protein
O9G_000962	Machado-Joseph disease protein MJD domain-containing protein
O9G_000963	Ribonuclease CAF1 domain-containing protein
O9G_000964	Alpha-ketoglutarate-dependent dioxygenase AlkB-like domain-containing protein
O9G_000965	DUF4201 domain-containing protein
O9G_000966	EGF-like domain-containing protein
O9G_000967	hypothetical protein
O9G_000968	hypothetical protein
O9G_000969	Methionyl/Leucyl tRNA synthetase domain-containing protein
O9G_000970	hypothetical protein
O9G_000971	RmlC-like jelly roll fold domain-containing protein
